Brettanomyces bruxellensis	64573275
Aspergillus udagawae	66990387
Fusarium poae	68346784
Fusarium musae	68314981
Bacidia gigantensis	68304586
Cercospora kikuchii	68287130
Diaporthe batatas	68279098
Aspergillus pseudoviridinutans	67004756
Aspergillus chevalieri	66986006
Aspergillus viridinutans	66933068
Scheffersomyces spartinae	66117778
Aspergillus puulaauensis	64972963
Aspergillus luchuensis	64966427
Brettanomyces nanus	62194964
Aspergillus pseudonomiae	43663322
Procambarus clarkii	123762070
Nasonia vitripennis	100123103
Venturia canescens	122416463
Amphibalanus amphitrite	122382228
Macadamia integrifolia	122072884
Nomia melanderi	116432011
Octopus sinensis	115214798
Octopus sinensis	115214218
Manihot esculenta	110616459
Rhagoletis zephyria	108376231
Mus musculus	98956
Populus trichocarpa	7467679
Cotesia glomerata	123264088
Cannabis sativa	115722036
Amphibalanus amphitrite	122394261
Lactuca sativa	111906473
Momordica charantia	111014103
Manihot esculenta	110630261
Pseudomyrmex gracilis	109857199
Limulus polyphemus	106469588
Athalia rosae	105691148
Vollenhovia emeryi	105570672
Cucumis melo	103486075
Citrus sinensis	102620628
Amborella trichopoda	18438169
Homo sapiens	359724
Mus musculus	110183
Sparassis crispa	38779177
Lonchura striata domestica	110476638
Lachnellula hyalina	41981890
Homarus americanus	121863727
Rhagoletis pomonella	118736079
Rhagoletis pomonella	118736019
Punica granatum	116189175
Cannabis sativa	115722304
Cannabis sativa	115706751
Folsomia candida	110862989
Lynx rufus	124519256
Haliotis rubra	124276222
Neodiprion pinetum	124215014
Neodiprion fabricii	124178780
Portunus trituberculatus	123511484
Telopea speciosissima	122666583
Macadamia integrifolia	122078166
Panicum virgatum	120691170
Panicum virgatum	120647001
Glossina fuscipes	119641845
Pollicipes pollicipes	119097746
Stegodyphus dumicola	118185198
Ixodes scapularis	115312726
Octopus sinensis	115217158
Papaver somniferum	113325969
Pomacea canaliculata	112562122
Durio zibethinus	111301750
Helianthus annuus	110865558
Dendrobium catenatum	110108973
Raphanus sativus	108847542
Eufriesea mexicana	108548739
Neodiprion lecontei	107217500
Solanum pennellii	107020990
Brassica napus	106443290
Wasmannia auropunctata	105459631
Ceratosolen solmsi marchali	105366821
Brassica rapa	103856762
Cucumis sativus	101217859
Citrus clementina	18056016
Danio rerio	100037361
Apis mellifera	544669
Oryctolagus cuniculus	100328976
Rattus norvegicus	120102105
Rattus norvegicus	120099695
Plasmodium falciparum 3D7	813038
Babesia microti strain RI	24424357
Candida albicans SC5314	3644545
Candida albicans SC5314	3642629
Trichosporon asahii var. asahii CBS 2479	25989630
Sporothrix schenckii 1099-18	27666119
Castor canadensis	109697637
Babesia sp. Xinjiang	39878528
Malassezia pachydermatis	28730563
Malassezia pachydermatis	28729961
Candida orthopsilosis Co 90-125	14540704
Komagataella phaffii GS115	8201231
Komagataella phaffii GS115	8201102
Komagataella phaffii GS115	8200947
Komagataella phaffii GS115	8200372
Komagataella phaffii GS115	8199778
Komagataella phaffii GS115	8199229
Komagataella phaffii GS115	8198708
Komagataella phaffii GS115	8198281
Komagataella phaffii GS115	8198002
Komagataella phaffii GS115	8197670
Komagataella phaffii GS115	8197563
Komagataella phaffii GS115	8197049
Plasmodium berghei ANKA	55151220
Verticillium nonalfalfae	39609528
Plasmodium yoelii	34860047
Penicillium expansum	27680959
Rhodotorula toruloides NP11	27367317
Ustilago maydis 521	23563279
Cryptococcus gattii WM276	10186305
Candida dubliniensis CD36	8045462
Candida dubliniensis CD36	8044586
Scheffersomyces stipitis CBS 6054	4851956
Scheffersomyces stipitis CBS 6054	4851152
Venustampulla echinocandica	43603402
Fusarium fujikuroi IMI 58289	35407031
Fusarium fujikuroi IMI 58289	35398322
Fusarium fujikuroi IMI 58289	35394489
Schizosaccharomyces cryophilus OY26	25037191
Schizosaccharomyces octosporus yFS286	25029271
Medicago truncatula	11421941
Trichinella spiralis	10899398
Oryza sativa Japonica Group	4331056
Jaminaea rosea	37025944
Meira miltonrushii	37019144
Cyberlindnera jadinii NRRL Y-1542	30989821
Ascoidea rubescens DSM 1968	30965649
Saitoella complicata NRRL Y-17804	30188667
Fusarium verticillioides 7600	30059537
Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	30032130
Fusarium oxysporum f. sp. lycopersici 4287	28942607
Brachypodium distachyon	100841945
Glycine max	100801900
Glycine max	100792606
Glycine max	100777863
Aspergillus tubingensis	55999499
Geosmithia morbida	55973326
Geosmithia morbida	55967003
Dothidotthia symphoricarpi CBS 119687	54405977
Daldinia childiae	54343933
Aspergillus tanneri	54328672
Aaosphaeria arxii CBS 175.79	54285887
Fusarium proliferatum ET1	42051165
Fusarium proliferatum ET1	42047547
Fusarium proliferatum ET1	42046026
Fusarium odoratissimum NRRL 54006	42025946
Fusarium oxysporum NRRL 32931	42014609
Apiotrichum porosum	39585048
Malassezia restricta	38739216
Malassezia restricta	38737837
Malassezia restricta	38737414
Aspergillus thermomutatus	38128982
Aspergillus thermomutatus	38125745
Aspergillus steynii IBT 23096	36558774
Aspergillus steynii IBT 23096	36558288
Pseudogymnoascus destructans	36288355
Pseudogymnoascus destructans	36287613
Ramularia collo-cygni	35595506
Cercospora beticola	35434844
Talaromyces atroroseus	30999765
Kwoniella bestiolae CBS 10118	30211085
Kwoniella pini CBS 10737	30172017
Kwoniella mangroviensis CBS 8507	30160092
Cryptococcus amylolentus CBS 6039	30159685
Fonsecaea erecta	30008946
Schistosoma mansoni	29831104
Schistosoma mansoni	29831102
Schistosoma mansoni	29831098
Kwoniella dejecticola CBS 10117	28969702
Pneumocystis jirovecii RU7	28942039
Pneumocystis carinii B80	28936164
Pseudogymnoascus verrucosus	28841511
Paraphaeosphaeria sporulosa	28759823
Sphaeroforma arctica JP610	25908563
Ogataea parapolymorpha DL-1	25772032
Ogataea parapolymorpha DL-1	25770590
Ogataea parapolymorpha DL-1	25770416
Selaginella moellendorffii	9642718
Ricinus communis	8279560
Monomorium pharaonis	105831418
Nilaparvata lugens	111047943
Nicotiana attenuata	109237495
Papilio polytes	106106392
Homalodisca vitripennis	124354221
Trifolium pratense	123924729
Trifolium pratense	123909656
Procambarus clarkii	123755472
Cotesia glomerata	123273124
Carya illinoinensis	122308413
Cannabis sativa	115722037
Hevea brasiliensis	110650728
Exaiptasia diaphana	110252388
Parasteatoda tepidariorum	107447874
Ooceraea biroi	105275668
Solanum lycopersicum	101247928
Strongylocentrotus purpuratus	581711
Frieseomelitta varia	122528772
Cajanus cajan	109807458
Aegilops tauschii	109742343
Solenopsis invicta	105195938
Megachile rotundata	100882422
Arachis ipaensis	107642644
Drosophila willistoni	6650175
Drosophila willistoni	6650074
Drosophila ananassae	6500933
Lynx rufus	124525572
Xenia sp. Carnegie-2017	124447701
Daphnia pulicaria	124349049
Neodiprion virginiana	124300990
Daphnia pulex	124208609
Haliotis rufescens	124151053
Pieris brassicae	123713960
Aphidius gifuensis	122860650
Solea senegalensis	122773034
Solea senegalensis	122767690
Telopea speciosissima	122648844
Telopea speciosissima	122642877
Drosophila teissieri	122622226
Bombus pyrosoma	122565647
Penaeus japonicus	122251780
Zingiber officinale	122037084
Zingiber officinale	122025146
Salvia splendens	121775781
Salvia splendens	121760347
Aricia agestis	121728021
Lytechinus variegatus	121423014
Gigantopelta aegis	121378884
Juglans microcarpa x Juglans regia	121253109
Ochotona curzoniae	121168004
Gallus gallus	121107007
Gallus gallus	121107002
Gallus gallus	121106995
Gallus gallus	121106994
Bactrocera tryoni	120782710
Hibiscus syriacus	120179844
Hibiscus syriacus	120170316
Hibiscus syriacus	120122620
Tripterygium wilfordii	119991731
Patiria miniata	119738685
Rhipicephalus sanguineus	119399983
Rhipicephalus microplus	119179892
Pollicipes pollicipes	119112449
Pollicipes pollicipes	119111225
Populus alba	118058131
Populus alba	118046032
Prunus dulcis	117624730
Acipenser ruthenus	117430620
Bombus vosnesenskii	117235402
Belonocnema kinseyi	117179362
Pistacia vera	116129302
Cannabis sativa	115722303
Osmia bicornis bicornis	114878328
Glycine soja	114391416
Glycine soja	114383936
Glycine soja	114382266
Glycine soja	114381648
Camellia sinensis	114304313
Abrus precatorius	113873045
Abrus precatorius	113847467
Papaver somniferum	113354109
Theropithecus gelada	112618592
Gallus gallus	112533602
Gallus gallus	112533601
Temnothorax curvispinosus	112465501
Quercus suber	112033170
Quercus suber	111987601
Lactuca sativa	111896995
Cryptotermes secundus	111862187
Cucurbita pepo subsp. pepo	111804924
Centruroides sculpturatus	111639107
Cucurbita moschata	111439941
Olea europaea var. sylvestris	111402323
Varroa jacobsoni	111265468
Varroa destructor	111252842
Helianthus annuus	110903686
Zootermopsis nevadensis	110832748
Mizuhopecten yessoensis	110442844
Herrania umbratica	110410887
Orbicella faveolata	110066888
Phalaenopsis equestris	110036506
Juglans regia	109010173
Trachymyrmex cornetzi	108761793
Trachymyrmex septentrionalis	108753159
Trachymyrmex zeteki	108731798
Drosophila arizonae	108612078
Apis cerana	108003786
Gossypium hirsutum	107926246
Gossypium hirsutum	107919859
Ziziphus jujuba	107421106
Cephus cinctus	107271834
Octopus bimaculoides	106881134
Priapulus caudatus	106805276
Brassica oleracea	106331910
Amyelois transitella	106134195
Erythranthe guttata	105957194
Jatropha curcas	105629717
Elaeis guineensis	105050876
Tarenaya hassleriana	104817784
Nelumbo nucifera	104601557
Nicotiana tomentosiformis	104113842
Pyrus x bretschneideri	103937043
Phoenix dactylifera	103715525
Phoenix dactylifera	103700799
Malus domestica	103424201
Oryza brachyantha	102709819
Oryza brachyantha	102701149
Apis dorsata	102671582
Aplysia californica	101858918
Cicer arietinum	101504411
Selaginella moellendorffii	9654906
Drosophila melanogaster	5740420
Drosophila melanogaster	5740812
Drosophila melanogaster	26067189
Drosophila melanogaster	26067169
Drosophila melanogaster	26067166
Mus musculus	110142
Mus musculus	110141
Mus musculus	110143
Mus musculus	110140
Mus musculus	110127
Mus musculus	110126
Rattus norvegicus	685450
Schistocerca americana	124556531
Schistocerca americana	124544967
Schistocerca americana	124606934
Plasmodium knowlesi strain H	7321195
Sus scrofa	100861538
Encephalitozoon cuniculi GB-M1	858541
Aspergillus udagawae	66987884
Penicillium griseofulvum	63709572
Aspergillus melleus	70117294
Aspergillus melleus	70111352
Colletotrichum gloeosporioides	69008303
Colletotrichum truncatum	59359295
Medicago truncatula	11438385
Medicago truncatula	11420496
Fusarium subglutinans	59310222
Fusarium tjaetaba	59300849
Pimephales promelas	120464493
Camelus dromedarius	105089671
Alligator mississippiensis	102570609
Blastomyces dermatitidis ER-3	69029674
Cercospora kikuchii	68298105
Diaporthe batatas	68284576
Aspergillus pseudoviridinutans	66999965
Aspergillus chevalieri	66979683
Aspergillus viridinutans	66929381
Scheffersomyces spartinae	66115017
Scheffersomyces spartinae	66114313
Aspergillus puulaauensis	64979164
Aspergillus luchuensis	64955811
Ustilago hordei	64863624
Kazachstania barnettii	64856064
Brettanomyces nanus	62196805
Colletotrichum karsti	62158474
Pleurotus ostreatus	59377928
Colletotrichum siamense	59266747
Colletotrichum aenigma	59239196
Plasmodium berghei ANKA	55151312
Plasmodium berghei ANKA	55148803
Plasmopara halstedii	36408016
Plasmopara halstedii	36407092
Plasmopara halstedii	36396653
Mollisia scopiformis	28830768
Sorghum bicolor	8084663
Populus trichocarpa	7476668
Apis mellifera	551414
Drosophila yakuba	6537211
Bactrocera dorsalis	105229546
Tribolium castaneum	661160
Pieris rapae	111004384
Bombyx mori	101746309
Monomorium pharaonis	105838577
Thrips palmi	117651820
Nicotiana attenuata	109223573
Bemisia tabaci	109035870
Pararge aegeria	120628234
Pararge aegeria	120625747
Penaeus monodon	119574973
Leptopilina heterotoma	122502866
Leptopilina heterotoma	122500356
Homarus americanus	121874245
Papilio xuthus	106117621
Mangifera indica	123198705
Asterias rubens	117290604
Trichoplusia ni	113502957
Frankliniella occidentalis	113204774
Dendroctonus ponderosae	109543882
Aedes albopictus	109415064
Parasteatoda tepidariorum	107443154
Neodiprion lecontei	107219876
Bactrocera oleae	106615942
Plutella xylostella	105394814
Musa acuminata	103985546
Musca domestica	101899111
Vespa crabro	124430163
Vespa crabro	124421725
Homalodisca vitripennis	124359441
Ischnura elegans	124165464
Ischnura elegans	124156075
Trifolium pratense	123917347
Colias croceus	123700483
Hordeum vulgare subsp. vulgare	123402840
Carya illinoinensis	122274742
Rhagoletis pomonella	118745511
Branchiostoma floridae	118428921
Branchiostoma floridae	118425846
Megalopta genalis	117218042
Photinus pyralis	116161189
Photinus pyralis	116161069
Cannabis sativa	115716075
Bicyclus anynana	112050003
Leptinotarsa decemlineata	111504748
Pieris rapae	110999079
Halyomorpha halys	106681281
Lingula anatina	106174886
Sesamum indicum	105168526
Camelina sativa	104761805
Microplitis demolitor	103573443
Ceratitis capitata	101448836
Aedes aegypti	5574140
Triticum aestivum	123139362
Triticum aestivum	123128859
Aegilops tauschii	109772861
Lupinus angustifolius	109362765
Lupinus angustifolius	109347193
Solenopsis invicta	105208076
Camelina sativa	104726281
Apis florea	100869191
Bombus impatiens	100743219
Bombus terrestris	100648086
Ctenocephalides felis	113371241
Nilaparvata lugens	111062536
Folsomia candida	110851179
Arachis duranensis	107460321
Orussus abietinus	105703535
Coregonus clupeaformis	121567674
Drosophila simulans	6727995
Drosophila simulans	6727164
Drosophila virilis	6632859
Drosophila sechellia	6614325
Drosophila persimilis	6592017
Drosophila mojavensis	6574449
Drosophila mojavensis	6573634
Drosophila grimshawi	6568175
Drosophila grimshawi	6563661
Drosophila erecta	6553459
Drosophila yakuba	6535971
Drosophila ananassae	6494306
Drosophila pseudoobscura	4802719
Vanessa cardui	124533139
Vanessa cardui	124530300
Dermatophagoides farinae	124500145
Dermatophagoides farinae	124490556
Xenia sp. Carnegie-2017	124446673
Diprion similis	124407555
Diprion similis	124406205
Homalodisca vitripennis	124371789
Daphnia pulicaria	124314102
Neodiprion virginiana	124300753
Haliotis rubra	124270293
Neodiprion pinetum	124214592
Daphnia pulex	124196215
Neodiprion fabricii	124178486
Haliotis rufescens	124140247
Haliotis rufescens	124139627
Maniola jurtina	123871384
Maniola jurtina	123866877
Pieris brassicae	123709245
Colias croceus	123692825
Harmonia axyridis	123675800
Harmonia axyridis	123673633
Melitaea cinxia	123663376
Melitaea cinxia	123654218
Lemur catta	123628199
Mercenaria mercenaria	123564952
Mercenaria mercenaria	123535179
Portunus trituberculatus	123500330
Hordeum vulgare subsp. vulgare	123449442
Hordeum vulgare subsp. vulgare	123397224
Coccinella septempunctata	123321331
Coccinella septempunctata	123319936
Chrysoperla carnea	123300304
Chrysoperla carnea	123292038
Mangifera indica	123206131
Mangifera indica	123199956
Triticum aestivum	123158482
Triticum aestivum	123146005
Triticum aestivum	123098413
Triticum aestivum	123093136
Triticum aestivum	123084962
Tribolium madens	123015104
Tribolium madens	123009280
Neogale vison	122908410
Aphidius gifuensis	122854124
Gambusia affinis	122822779
Gambusia affinis	122822773
Apis laboriosa	122717767
Vespula pensylvanica	122634519
Vespula pensylvanica	122627095
Drosophila teissieri	122622521
Erigeron canadensis	122604535
Erigeron canadensis	122603306
Erigeron canadensis	122592945
Bombus pyrosoma	122570558
Frieseomelitta varia	122526814
Polistes fuscatus	122526200
Polistes fuscatus	122522260
Venturia canescens	122410679
Colletes gigas	122398530
Colletes gigas	122396689
Penaeus japonicus	122249179
Macadamia integrifolia	122071875
Macadamia integrifolia	122061040
Zingiber officinale	122021203
Zingiber officinale	122007331
Zingiber officinale	122003073
Zingiber officinale	121983759
Plectropomus leopardus	121966849
Salvia splendens	121804677
Salvia splendens	121795008
Aricia agestis	121730933
Anopheles merus	121602289
Anopheles merus	121597289
Anopheles merus	121589950
Coregonus clupeaformis	121555696
Vulpes lagopus	121479042
Lytechinus variegatus	121408548
Gigantopelta aegis	121374517
Gigantopelta aegis	121367799
Juglans microcarpa x Juglans regia	121263066
Lepeophtheirus salmonis	121131810
Lepeophtheirus salmonis	121114150
Gallus gallus	121107010
Gallus gallus	121107008
Gallus gallus	121107006
Gallus gallus	121107005
Gallus gallus	121107004
Gallus gallus	121107003
Gallus gallus	121106999
Gallus gallus	121106998
Gallus gallus	121106997
Gallus gallus	121106996
Anopheles coluzzii	120959913
Anopheles coluzzii	120950979
Anopheles arabiensis	120903859
Anopheles arabiensis	120896252
Bactrocera tryoni	120782383
Panicum virgatum	120657524
Panicum virgatum	120645370
Drosophila santomea	120452513
Drosophila santomea	120451480
Styela clava	120338965
Dioscorea cayenensis subsp. rotundata	120283532
Dioscorea cayenensis subsp. rotundata	120283331
Hibiscus syriacus	120189343
Benincasa hispida	120084870
Benincasa hispida	120079479
Tripterygium wilfordii	120012746
Tripterygium wilfordii	119999598
Zerene cesonia	119834764
Zerene cesonia	119831577
Patiria miniata	119728682
Teleopsis dalmanni	119680048
Teleopsis dalmanni	119678404
Teleopsis dalmanni	119675742
Hermetia illucens	119660279
Hermetia illucens	119659156
Glossina fuscipes	119641478
Lucilia sericata	119605402
Lucilia sericata	119600330
Penaeus monodon	119595871
Drosophila subpulchrella	119560855
Drosophila subpulchrella	119551715
Dermacentor silvarum	119453168
Dermacentor silvarum	119431252
Rhipicephalus sanguineus	119375873
Triticum dicoccoides	119323938
Triticum dicoccoides	119318400
Triticum dicoccoides	119291382
Triticum dicoccoides	119284803
Rhipicephalus microplus	119176500
Pollicipes pollicipes	119107043
Pollicipes pollicipes	119096677
Pollicipes pollicipes	119094997
Bradysia coprophila	119084394
Bradysia coprophila	119079922
Drosophila suzukii	118877612
Monomorium pharaonis	118648320
Molossus molossus	118615321
Anopheles stephensi	118512615
Anopheles stephensi	118502815
Anopheles albimanus	118460935
Anopheles albimanus	118457413
Vespa mandarinia	118447601
Vespa mandarinia	118442238
